station_id,latitude,longitude
3282,57.035702,-2.8721
3980,51.9968,-1.038
3462,47.238998,8.7871
3161,60.2458,25.0812
4048,60.1885,24.8236
459,50.6709,4.5511
3755,55.6726,-5.7412
3574,52.090801,9.2485
3233,58.1259,11.3572
2559,59.218899,18.347401
777,52.6443,29.727
3557,51.0647,13.7489
3626,44.097401,9.9649
3549,52.266499,10.1296
3931,46.765301,15.5581
2502,51.0248,13.6768
3803,51.5215,-1.142
1393,45.078,7.6327
3924,51.852,4.5404
1251,51.3841,12.1064
3517,48.6022,13.1514
3150,53.962944,-1.348468
3984,55.382725,13.279582
2273,48.3722,16.299709
653,48.2192,-1.5823
3920,51.2004,4.4062
3651,48.9955,12.0814
2778,48.3972,11.7368
923,51.6303,7.2433
4059,48.7862,10.167
2700,51.586739,-0.137288
3930,47.450367,12.38959
1561,50.8376,5.6724
3015,51.333199,12.4037
2157,45.6927,21.3099
1906,47.4767,11.9939
2484,49.671799,-1.2624
2535,52.9805,12.4252
3121,51.953098,4.9969
4053,59.365948,18.057131
2875,48.161,10.8811
4058,51.1848,-0.6474
3230,47.4171,7.6805
909,56.1982,-3.9585
3805,46.246399,6.088
1634,48.0115,7.8697
1036,50.995389,14.312
21,52.315,1.6614
67,50.978,-0.3544
64,51.5013,-0.0393
4,49.1951,16.6068
56,51.5303,5.7002
50,54.3563,-3.4058
504,52.9086,1.261
109,43.1296,12.0947
1105,50.2877,32.5187
464,53.530543,-2.754251
6,51.4741,-0.093
25,35.5138,24.018
8,42.2655,2.9581
81,60.2927,24.5565
36,43.2818,5.3128
1637,48.0212,7.855
130,53.4688,10.282
2721,47.520145,5.180927
3815,53.450108,5.632118
3674,-31.9387,115.781601
751,53.57404,0.109201
2102,47.7635,16.787201
875,35.7179,139.7267
2455,53.152794,-4.163405
3011,49.8326,7.8668
2646,46.7223,6.7809
3176,50.9092,0.6916
3062,52.010269,4.332425
1130,52.7486,1.1031
3033,43.6032,3.8324
1884,49.7031,9.2761
3507,43.522247,3.918238
1808,52.4153,13.2746
3156,48.9464,45.575
2856,28.312599,-16.4014
4050,60.2373,25.0796
893,59.3443,18.4725
1234,49.1225,8.7145
3630,56.1674,15.3847
3944,52.320934,4.967253
3801,50.871201,0.6266
3936,49.998169,8.204369
3789,29.1126,-13.6538
3901,53.3602,7.0232
4046,52.4533,4.5655
629,52.0291,4.4075
3791,50.673458,-3.842712
3483,52.9682,8.8766
3869,53.191895,7.083594
10,45.8579,3.5452
3463,59.0546,14.3404
2385,43.35,-2.97
3281,51.826969,-2.875255
3427,53.3705,-3.1727
696,48.8803,2.7232
920,51.0248,12.3763
220,57.9867,7.5348
3561,51.5558,-2.3345
2915,50.9114,-1.177
3590,52.1008,-0.2518
2440,44.099899,9.9656
3145,51.775,9.3262
1980,29.8587,31.0218
2990,50.1516,8.6076
3882,50.875401,3.3291
2427,53.335,-1.5078
3223,56.161,14.8602
2487,50.9954,6.8206
3366,59.5127,12.3127
3666,56.765,14.5827
3074,56.765,14.5827
3779,51.221,6.806
2103,51.845432,9.142531
3954,43.522247,3.918216
352,57.2491,10.284
3339,50.6757,12.6094
1769,53.9819,-1.5759
3370,47.6446,7.5815
1994,48.5507,1.592
3544,50.174057,8.6965
747,51.6026,-1.9915
3823,53.073574,6.460439
2283,47.8922,12.3572
3852,46.230999,6.2386
3933,53.689999,-0.4505
610,51.9788,6.6655
1633,56.0865,-4.4675
3898,51.910423,4.109167
1795,37.6031,-8.2074
3431,52.8793,1.3517
509,47.9246,21.7499
2164,48.6967,2.5034
2983,50.877499,3.649987
3856,53.6898,-0.4504
2301,50.8006,2.1699
2160,49.2365,7.0215
3193,50.972752,0.12523
2832,46.176456,8.789868
1620,47.9871,12.9517
3454,59.0728,10.4488
3600,50.0723,8.9943
3275,59.260887,13.508695
2828,52.0925,5.6592
3606,51.5693,-4.2754
1609,55.2295,-3.8252
2809,27.4845,96.2082
3646,51.3513,11.2935
2180,53.2253,-6.652655
3822,53.1892,6.5694
2877,50.875671,3.347367
3277,38.533901,14.3604
3475,47.794701,7.5428
3531,47.673782,-1.160025
1369,53.2939,-6.1873
416,52.1086,4.2786
2536,53.164,5.4174
3814,51.642899,7.2752
3879,44.484119,11.337181
3379,47.170898,8.1098
2562,49.596523,6.142375
3616,47.737846,12.923075
3919,51.082867,-0.308857
1364,53.8998,10.6492
3870,52.5824,4.6418
3816,65.697388,18.066658
3619,51.822201,0.8752
3510,51.4911,0.2165
2438,52.4816,-0.7048
3787,49.6654,10.1488
2394,-23.8436,-46.9577
3221,50.713799,-3.075785
3209,50.1017,8.8975
3942,50.711792,3.089641
2500,43.842205,10.483162
3730,51.918,-1.0865
2270,52.754,1.1626
1890,55.9027,-4.2379
1527,51.9867,4.6678
3178,48.370838,8.77554
3676,53.233601,-2.6663
3899,50.159454,-5.657488
3119,44.8805,0.885
3843,56.476101,-5.3996
3678,46.467899,7.0676
3744,48.382492,9.101936
793,49.1797,8.6426
3934,46.7636,15.5582
2561,51.6746,-2.3184
1225,51.6039,-2.3218
3180,52.301113,6.753203
1005,53.1571,8.927
2013,48.9903,-0.0707
623,51.2455,7.024
1929,43.294,5.5827
3760,52.0951,4.3927
3910,57.654213,-3.603416
3612,48.6392,-2.1134
2321,67.2622,14.4718
1814,52.5423,6.0371
3842,50.6055,3.3878
3305,48.1968,-1.5816
3703,48.9057,3.1593
1315,53.3567,-2.17
3888,47.660522,-2.719967
3800,51.622532,-1.103397
3653,51.2301,2.9723
3004,51.1435,9.5153
3166,51.8317,7.2247
2129,48.6994,9.7044
3602,46.5652,13.7622
3868,46.622978,14.177773
1092,48.2096,7.3137
1085,63.1456,10.1726
1288,51.298,12.3873
707,50.8269,-2.0446
2712,43.6275,0.3527
2900,50.5472,-4.918
2271,52.749199,1.1022
3878,51.8711,-1.0948
3732,48.8248,12.5942
927,50.702,7.4048
3835,52.375,4.5942
1039,50.3624,-5.1121
1664,54.0834,12.0872
1312,45.0456,7.6732
